CNAE 10;CNAE 20
10006;05003
11100;06000
11207;09106
13102;07103
13218;07219
13226;07227
13234;07235
13242;07243
13250;07251
13293;07294
14109;08100
14214;08916
14222;08924
14290;08932
15113;10112
15121;10121
15130;10139
15148;10201
15210;10317
15229;10325
15237;10333
15318;10414
15326;10422
15334;10431
15415;10511
15423;10520
15431;10538
15512;10619
15520;10627
15539;10635
15547;10643
15555;10651
15563;10660
15598;10694
15610;10716
15628;10724
15717;10813
15725;10821
15814;10911
15822;10929
15830;10937
15849;10945
15857;10953
15865;10996
15890;10996
15911;11119
15920;11127
15938;11135
15946;11216
15954;11224
16004;12204
17116;13111
17191;13120
17213;13111
17221;13120
17230;13138
17248;13146
17310;13219
17329;13227
17337;13235
17418;13219
17493;13235
17507;13405
17612;13511
17620;13529
17639;13537
17647;13545
17698;13596
17710;13308
17728;14215
17795;14223
18112;14118
18120;14126
18139;14134
18210;14142
18228;32922
19100;15106
19216;15211
19291;15297
19313;15319
19321;15327
19330;15335
19399;15394
20109;16102
20214;16218
20222;16226
20230;16234
20290;16293
21105;17109
21210;17214
21229;17222
21318;17311
21326;17338
21415;17419
21423;17419
21490;17494
22144;59201
22110;58115
22152;58115
22160;58212
22179;58221
22187;58239
22195;58298
22217;18113
22225;18130
22292;18211
22314;18300
22322;18300
22349;18300
23108;19101
23213;19217
23299;19225
23302;20193
23400;19314
24112;20118
24120;20126
24139;20134
24147;20142
24198;20193
24210;20215
24228;20223
24295;20291
24317;20312
24325;20321
24333;20339
24414;20401
24422;20401
24511;21106
24520;21211
24538;21220
24546;32507
24619;20525
24627;20517
24635;20517
24694;20517
24716;20614
24724;20622
24732;20631
24813;20711
24821;20720
24830;20738
24910;20916
24929;20924
24937;20941
24945;20932
24953;20991
24961;26809
24996;20991
25119;22111
25127;22129
25194;22196
25216;22218
25224;22226
25291;22293
26115;23117
26123;23125
26190;23192
26204;23206
26301;23303
26417;23427
26425;23419
26492;23494
26913;23915
26921;23923
26999;23991
27138;24113
27146;24121
27227;24211
27235;24211
27243;24229
27251;24237
27260;24245
27316;24318
27391;24393
27413;24415
27421;24423
27499;24491
27510;24512
27529;24521
28118;25110
28126;25128
28134;25136
28215;25217
28223;25225
28312;25314
28320;25314
28339;25322
28347;25322
28398;25390
28410;25411
28428;25420
28436;25438
28819;33112
28827;33112
28916;25918
28924;25926
28932;25934
28991;25993
29114;28119
29122;28127
29130;28135
29149;28143
29157;28151
29211;28216
29220;28216
29238;28224
29246;28232
29254;28241
29297;28291
29319;28330
29327;28313
29408;28402
29513;28518
29521;28526
29530;28534
29548;28542
29610;28615
29629;28623
29637;28631
29645;28640
29653;28658
29696;28691
29718;25501
29726;25501
29815;27511
29890;27597
29912;33147
29920;33147
29939;33147
29947;33147
29955;33147
29963;33147
30112;28291
30120;28291
30210;26213
30228;26221
31119;27104
31127;27104
31135;27104
31216;27317
31224;27325
31305;27333
31410;27210
31429;27228
31518;27406
31526;27406
31607;29450
31810;33139
31828;33139
31895;33139
31917;27902
31925;27902
31992;27902
32107;26108
32212;26311
32220;26329
32301;26400
32905;95126
33103;26604
33200;26515
33308;26515
33405;32507
33502;26523
33910;33121
33910;33198
33928;33121
33936;33121
33944;33121
34100;29107
34207;29204
34312;29301
34320;29301
34398;29301
34410;29417
34428;29425
34436;29433
34444;29441
34495;29492
34509;29506
35114;30113
35122;30121
35211;30318
35220;30326
35238;33155
35319;30415
35327;33163
35912;30911
35920;30920
35998;30997
36110;31012
36129;31021
36137;31039
36145;31047
36919;32116
36927;32205
36935;32302
36943;32400
36951;32990
36960;32990
36978;32914
36994;32990
37109;38319
37206;38394
40100;35115
40118;35115
40126;35123
40134;35131
40142;35140
40207;35204
40304;35301
41009;36006
45110;43118
45128;43916
45136;43134
45217;41204
45225;42111
45233;42120
45250;42928
45292;42995
45314;42219
45330;42219
45411;43215
45420;43223
45438;43223
45497;43291
45500;43304
45519;43304
45594;43304
45608;43134
50105;45111
50202;45200
50300;45307
50415;45412
50423;45439
50504;47318
51110;46117
51128;46125
51136;46133
51144;46141
51152;46150
51160;46168
51179;46176
51187;46184
51195;46192
51217;46222
51225;46231
51314;46311
51322;46320
51330;46338
51349;46346
51357;46346
51365;46354
51373;46362
51390;46371
51411;46419
51420;46427
51438;46435
51446;46494
51454;46443
51462;46460
51470;46478
51497;46494
51519;46818
51527;46893
51535;46745
51543;46842
51551;46877
51594;46851
51616;46613
51640;46656
51659;46516
51691;46630
51918;46915
51926;46699
52116;47113
52124;47113
52132;47121
52140;47296
52159;47130
52213;47211
52221;47211
52230;47229
52248;47237
52299;47229
52310;47555
52329;47814
52337;47822
52418;47717
52426;47539
52434;47547
52442;47890
52450;47512
52469;47610
52477;47849
52493;47890
52507;47857
52620;47903
52698;36006
52710;95215
52728;95291
52795;95291
55123;55108
55115;55108
55131;55108
55190;55906
55212;56112
55220;56112
55239;56201
55247;56201
55298;56121
60100;49116
60216;49124
60224;49124
60232;49213
60240;49221
60259;49299
60267;49302
60275;49302
60283;49302
60291;49124
60305;49400
61115;50114
61123;50122
61212;50220
61220;50211
61239;50912
62103;51111
62200;51129
62308;51307
63118;52125
63126;52117
63215;52214
63223;33171
63223;50301
63231;52401
63304;79112
63401;52320
64114;53105
64122;53202
64203;61302
65102;64107
65218;64212
65226;64221
65234;64239
65242;64247
65315;64310
65323;64328
65331;64336
65340;64352
65358;64361
65404;64409
65510;64344
65595;64999
65919;64701
65927;64506
65935;77403
65994;64999
66117;65111
66125;65120
66133;65308
66214;65413
66222;65421
66303;65502
67113;66118
67121;66126
67199;66193
67202;66291
70106;68102
70203;68102
70319;68218
70327;68218
70408;81125
71102;77110
71218;77195
71226;77195
71234;77195
71315;77314
71323;77322
71331;77331
71390;77390
71404;77292
72109;62040
72214;62031
72290;62015
72303;63119
72400;63194
72508;95118
72907;62091
73105;72100
73202;72207
74110;69117
74128;69206
74136;73203
74144;64620
74152;70107
74160;70204
74209;71120
74306;71201
74403;73114
74500;78205
74608;80111
74705;81214
74918;74200
74926;82920
74993;82997
75116;84116
75124;84124
75132;84132
75140;84116
75213;84213
75221;84221
75230;84230
75248;84248
75256;84256
75302;84302
80128;85139
80136;85112
80144;85121
80152;85139
80209;85201
80314;85317
80322;85325
80330;85333
80934;85996
80969;85414
80977;85422
80993;85996
85111;86101
85120;86216
85138;86305
85146;86402
85154;86500
85162;86909
85200;75001
85316;87301
85324;88006
90000;38211
91111;94111
91120;94120
91200;94201
91910;94910
91928;94928
91995;94995
92118;59111
92126;59138
92134;59146
92215;60101
92223;60217
92312;90019
92320;90035
92398;85929
92398;90019
92401;63917
92517;91015
92525;91023
92533;91031
92614;93123
92622;93298
93017;96017
93025;96025
93033;96033
93041;96092
93092;96092
95001;97005
99007;99008
01112;01113
01120;01121
01139;01130
01147;01148
01155;01156
01198;01164
01210;01211
01228;01229
01317;01334
01325;01342
01333;01351
01341;01326
01392;01393
01414;01512
01422;01521
01430;01539
01449;01547
01457;01555
01465;01598
01503;01393
01619;01610
01627;01628
01708;01709
02119;02101
02127;02209
02135;02306
05118;03116
05126;03221
65994;64387
